Gene,logFC,t,P.Value,adj.P.Val,B,ensembl_gene_id
REL,0.139234838065944,2.36087601448823,0.0255362709035216,0.0479654810677693,-4.94041813522156,ENSG00000162924
CCDC88A,0.140414663336778,2.45998912338787,0.0204274351042201,0.0398272097849661,-4.80045126672852,ENSG00000115355
NIN,0.142414216405599,2.36110457826532,0.0255232527616494,0.0479635665908093,-4.92921144176474,ENSG00000100503
KNTC1,0.14293673626504,2.39822073707295,0.0234878731273494,0.0447356857984959,-4.90602811311449,ENSG00000184445
HNRNPA3,0.142952074315108,2.40994255628673,0.0228766155892288,0.0437676245498022,-4.83175362893917,ENSG00000170144
PNISR,0.144742234058581,2.69974338929632,0.0117105258731591,0.024875287534559,-4.32048081353183,ENSG00000132424
USP24,0.147095120673788,2.34231900037251,0.02661363859993,0.0497345924133868,-4.91965969569704,ENSG00000162402
HNRNPH1,0.147786486612661,2.65333056397211,0.0130647109175344,0.0273094738113587,-4.37404772602816,ENSG00000169045
BTG2,0.148101260194656,2.43697910822406,0.02152192909918,0.0415926176681533,-4.74758318200979,ENSG00000159388
DEK,0.149852648838518,2.45288476409335,0.0207597742865877,0.0403479265812528,-4.70907547368568,ENSG00000124795
MTA3,0.151475584361205,2.34247063579409,0.0266046697369978,0.0497276745170519,-4.87980560071588,ENSG00000057935
TTC17,0.152067892548888,2.44089316176383,0.021332031036511,0.0412870839217386,-4.72426252026149,ENSG00000052841
SCAI,0.152884928570117,2.38493995509909,0.0241984643283757,0.045897540157093,-4.80643255253021,ENSG00000173611
AKAP9,0.152939062475761,2.52474003062012,0.0176164943680839,0.035208897087137,-4.60396180833291,ENSG00000127914
MIAT,0.153184049564563,2.34112028015306,0.0266846369576954,0.0498484376434185,-4.88077043364682,ENSG00000225783
CIRBP,0.15333570914367,2.49823197897114,0.0187210505983615,0.0370059987695687,-4.6228617929581,ENSG00000099622
SF3B3,0.153675866621953,2.50240335701514,0.0185430993508322,0.0367213329578789,-4.60764550363198,ENSG00000189091
CNTRL,0.155167133564069,2.659657908804,0.0128718610343604,0.0269814825564081,-4.31971099001535,ENSG00000119397
OSBPL3,0.155638428125542,2.55497052884114,0.016430508124976,0.0331598456375818,-4.50176643847408,ENSG00000070882
PSD4,0.155812224382726,2.41766772911844,0.0224817745840275,0.0431584917084769,-4.75841187183298,ENSG00000125637
AP1G1,0.155947159844206,2.34909087339394,0.0262157730460362,0.0490499268167114,-4.84392586828228,ENSG00000166747
LDLR,0.157091514767297,2.45672206487039,0.0205796544476859,0.0400692502812553,-4.68238476252141,ENSG00000130164
SLC25A27,0.157143238573923,2.41616574780423,0.0225580496530859,0.043285716619275,-4.73607423738931,ENSG00000153291
MBD4,0.158048081752433,2.44675858419982,0.0210503379893808,0.0408148951786337,-4.66154991590135,ENSG00000129071
MLLT10,0.158392293623601,2.36023901252676,0.0255725841386278,0.0480267409043548,-4.81832214970977,ENSG00000078403
SLTM,0.158697066716167,2.45030965006082,0.0208814594651123,0.0405540745303745,-4.67165520811372,ENSG00000137776
RIOK3,0.159082332079734,2.37568663428828,0.0247051250005583,0.0466958508042832,-4.78794297761613,ENSG00000101782
PFKFB3,0.159156603067005,2.51313454887673,0.0180924549267358,0.0359715685013492,-4.57501820519639,ENSG00000170525
HSP90B1,0.159484614988687,2.37885260428057,0.0245306933031063,0.0464227570667547,-4.82041309130356,ENSG00000166598
RNF111,0.15996691863585,2.39268532145003,0.0237816937758075,0.0452259748485877,-4.74827477945841,ENSG00000157450
NOL8,0.160170243978722,2.45122552254388,0.0208381056429578,0.0404880463278241,-4.68306460516475,ENSG00000198000
KIFC1,0.160610700940531,2.37112891177232,0.0249582265230241,0.0470635664413103,-4.77394573625753,ENSG00000056678
NAP1L4,0.160941219230978,2.4232226329247,0.0222017297529467,0.0426966460350328,-4.68458102507374,ENSG00000205531
MZB1,0.160995873881937,2.39162576715793,0.0238383170482469,0.0453203792996617,-4.75275030239141,ENSG00000170476
SMC6,0.162245018741591,2.4614845984575,0.0203581037642474,0.0397278312297045,-4.61951667649728,ENSG00000163029
TACC1,0.162920759375207,2.36502062077354,0.0253011481631661,0.0476064937104907,-4.76726239614108,ENSG00000147526
PFKP,0.163027677809615,2.45385257223,0.020714209980083,0.0402834913378397,-4.68444681454791,ENSG00000067057
GART,0.163343319423841,2.4826833623551,0.0193983234335691,0.0381530727371651,-4.58120791646355,ENSG00000159131
CCNL1,0.164823192460942,2.63190947203552,0.0137377818433274,0.0285052935387438,-4.33754019912218,ENSG00000163660
TNPO3,0.165041063186363,2.59352483922754,0.0150252561055464,0.0307395052030111,-4.37316382261504,ENSG00000064419
FAN1,0.165210145521954,2.49750568610463,0.0187521948572896,0.037056277904443,-4.5377021092981,ENSG00000198690
WDFY4,0.165316067904459,2.76868927447016,0.00993935673615255,0.0216841990430967,-4.07971333484585,ENSG00000128815
RACGAP1,0.165627886357797,2.46442658070172,0.0202223426670377,0.0395044650686354,-4.58974956865325,ENSG00000161800
ATP5B,0.165871685829392,2.3869861310025,0.0240877173355078,0.0457342547772591,-4.7332193433697896,ENSG00000110955
RBM3,0.166039522675173,2.42153973660022,0.0222862316458613,0.0428337743091365,-4.65454260631904,ENSG00000102317
SPTBN1,0.166647984075913,2.46618153908491,0.0201417552882414,0.0393846700763456,-4.64994994898177,ENSG00000115306
GUSBP11,0.166979429539858,2.38545392438378,0.0241706026183649,0.045878206695063,-4.74391962692181,ENSG00000228315
GPI,0.167044117513563,2.48641915198154,0.0192335681500728,0.0378691864259017,-4.59838529908594,ENSG00000105220
RBM39,0.167066940352132,2.9347434798988,0.00665194881253194,0.0154025773913148,-3.74380455998819,ENSG00000131051
LYN,0.167191583411232,2.62714645433296,0.0138917657012008,0.0287742173099378,-4.29194179605962,ENSG00000254087
PIGO,0.167279458995177,2.3508230700443,0.0261148762942318,0.0488966597819458,-4.78155738615022,ENSG00000165282
SLC2A1,0.167431861803036,2.39923176437462,0.0234345678276638,0.0446719305222608,-4.73266975114191,ENSG00000117394
HMGXB4,0.167483601813424,2.41553687339971,0.0225900561521082,0.0433343231416698,-4.66308500118969,ENSG00000100281
NFATC1,0.167533338072033,2.40327593865842,0.0232224487431355,0.0443378017694307,-4.69401058207256,ENSG00000131196
MELK,0.167645016373807,2.37017053820884,0.0250117477481232,0.0471439490438274,-4.73927763485753,ENSG00000165304
NCOA3,0.167882617801037,3.13116436943367,0.00409126637798323,0.0101678620569212,-3.32703941692268,ENSG00000124151
PSAP,0.168052225589145,2.3422785373003,0.0266160323567906,0.0497345924133868,-4.79009781199223,ENSG00000197746
