"Row","GeneID","geneSymbol"
"BCK_eIF4E_RIP_2016.csv~1.1","ENSG00000162924","REL"
"BCK_eIF4E_RIP_2016.csv~1.2","ENSG00000115355","CCDC88A"
"BCK_eIF4E_RIP_2016.csv~1.3","ENSG00000100503","NIN"
"BCK_eIF4E_RIP_2016.csv~1.4","ENSG00000184445","KNTC1"
"BCK_eIF4E_RIP_2016.csv~1.5","ENSG00000170144","HNRNPA3"
"BCK_eIF4E_RIP_2016.csv~1.6","ENSG00000132424","PNISR"
"BCK_eIF4E_RIP_2016.csv~1.7","ENSG00000162402","USP24"
"BCK_eIF4E_RIP_2016.csv~1.8","ENSG00000169045","HNRNPH1"
"BCK_eIF4E_RIP_2016.csv~1.9","ENSG00000159388","BTG2"
"BCK_eIF4E_RIP_2016.csv~1.10","ENSG00000124795","DEK"
"BCK_eIF4E_RIP_2016.csv~1.11","ENSG00000057935","MTA3"
"BCK_eIF4E_RIP_2016.csv~1.12","ENSG00000052841","TTC17"
"BCK_eIF4E_RIP_2016.csv~1.13","ENSG00000173611","SCAI"
"BCK_eIF4E_RIP_2016.csv~1.14","ENSG00000127914","AKAP9"
"BCK_eIF4E_RIP_2016.csv~1.15","ENSG00000225783","MIAT"
"BCK_eIF4E_RIP_2016.csv~1.16","ENSG00000099622","CIRBP"
"BCK_eIF4E_RIP_2016.csv~1.17","ENSG00000189091","SF3B3"
"BCK_eIF4E_RIP_2016.csv~1.18","ENSG00000119397","CNTRL"
"BCK_eIF4E_RIP_2016.csv~1.19","ENSG00000070882","OSBPL3"
"BCK_eIF4E_RIP_2016.csv~1.20","ENSG00000125637","PSD4"
"BCK_eIF4E_RIP_2016.csv~1.21","ENSG00000166747","AP1G1"
"BCK_eIF4E_RIP_2016.csv~1.22","ENSG00000130164","LDLR"
"BCK_eIF4E_RIP_2016.csv~1.23","ENSG00000153291","SLC25A27"
"BCK_eIF4E_RIP_2016.csv~1.24","ENSG00000129071","MBD4"
"BCK_eIF4E_RIP_2016.csv~1.25","ENSG00000078403","MLLT10"
"BCK_eIF4E_RIP_2016.csv~1.26","ENSG00000137776","SLTM"
"BCK_eIF4E_RIP_2016.csv~1.27","ENSG00000101782","RIOK3"
"BCK_eIF4E_RIP_2016.csv~1.28","ENSG00000170525","PFKFB3"
"BCK_eIF4E_RIP_2016.csv~1.29","ENSG00000166598","HSP90B1"
"BCK_eIF4E_RIP_2016.csv~1.30","ENSG00000157450","RNF111"
"BCK_eIF4E_RIP_2016.csv~1.31","ENSG00000198000","NOL8"
"BCK_eIF4E_RIP_2016.csv~1.32","ENSG00000056678","KIFC1"
"BCK_eIF4E_RIP_2016.csv~1.33","ENSG00000205531","NAP1L4"
"BCK_eIF4E_RIP_2016.csv~1.34","ENSG00000170476","MZB1"
"BCK_eIF4E_RIP_2016.csv~1.35","ENSG00000163029","SMC6"
"BCK_eIF4E_RIP_2016.csv~1.36","ENSG00000147526","TACC1"
"BCK_eIF4E_RIP_2016.csv~1.37","ENSG00000067057","PFKP"
"BCK_eIF4E_RIP_2016.csv~1.38","ENSG00000159131","GART"
"BCK_eIF4E_RIP_2016.csv~1.39","ENSG00000163660","CCNL1"
"BCK_eIF4E_RIP_2016.csv~1.40","ENSG00000064419","TNPO3"
"BCK_eIF4E_RIP_2016.csv~1.41","ENSG00000198690","FAN1"
"BCK_eIF4E_RIP_2016.csv~1.42","ENSG00000128815","WDFY4"
"BCK_eIF4E_RIP_2016.csv~1.43","ENSG00000161800","RACGAP1"
"BCK_eIF4E_RIP_2016.csv~1.44","ENSG00000110955","ATP5B"
"BCK_eIF4E_RIP_2016.csv~1.45","ENSG00000102317","RBM3"
"BCK_eIF4E_RIP_2016.csv~1.46","ENSG00000115306","SPTBN1"
"BCK_eIF4E_RIP_2016.csv~1.47","ENSG00000228315","GUSBP11"
"BCK_eIF4E_RIP_2016.csv~1.48","ENSG00000105220","GPI"
"BCK_eIF4E_RIP_2016.csv~1.49","ENSG00000131051","RBM39"
"BCK_eIF4E_RIP_2016.csv~1.50","ENSG00000254087","LYN"
"BCK_eIF4E_RIP_2016.csv~1.51","ENSG00000165282","PIGO"
"BCK_eIF4E_RIP_2016.csv~1.52","ENSG00000117394","SLC2A1"
"BCK_eIF4E_RIP_2016.csv~1.53","ENSG00000100281","HMGXB4"
"BCK_eIF4E_RIP_2016.csv~1.54","ENSG00000131196","NFATC1"
"BCK_eIF4E_RIP_2016.csv~1.55","ENSG00000165304","MELK"
"BCK_eIF4E_RIP_2016.csv~1.56","ENSG00000124151","NCOA3"
"BCK_eIF4E_RIP_2016.csv~1.57","ENSG00000197746","PSAP"
"BCK_eIF4E_RIP_2016.csv~1.58","ENSG00000113615","SEC24A"
"BCK_eIF4E_RIP_2016.csv~1.59","ENSG00000155629","PIK3AP1"
"BCK_eIF4E_RIP_2016.csv~1.60","ENSG00000104973","MED25"
"BCK_eIF4E_RIP_2016.csv~1.61","ENSG00000133835","HSD17B4"
"BCK_eIF4E_RIP_2016.csv~1.62","ENSG00000110344","UBE4A"
"BCK_eIF4E_RIP_2016.csv~1.63","ENSG00000204946","ZNF783"
"BCK_eIF4E_RIP_2016.csv~1.64","ENSG00000025293","PHF20"
"BCK_eIF4E_RIP_2016.csv~1.65","ENSG00000091490","SEL1L3"
"BCK_eIF4E_RIP_2016.csv~1.66","ENSG00000160214","RRP1"
"BCK_eIF4E_RIP_2016.csv~1.67","ENSG00000038358","EDC4"
"BCK_eIF4E_RIP_2016.csv~1.68","ENSG00000144747","TMF1"
"BCK_eIF4E_RIP_2016.csv~1.69","ENSG00000198648","STK39"
"BCK_eIF4E_RIP_2016.csv~1.70","ENSG00000066427","ATXN3"
"BCK_eIF4E_RIP_2016.csv~1.71","ENSG00000165025","SYK"
"BCK_eIF4E_RIP_2016.csv~1.72","ENSG00000175567","UCP2"
"BCK_eIF4E_RIP_2016.csv~1.73","ENSG00000143190","POU2F1"
"BCK_eIF4E_RIP_2016.csv~1.74","ENSG00000120899","PTK2B"
"BCK_eIF4E_RIP_2016.csv~1.75","ENSG00000260245","ACLY"
"BCK_eIF4E_RIP_2016.csv~1.76","NA_RSRP1","RSRP1"
"BCK_eIF4E_RIP_2016.csv~1.77","ENSG00000184381","PLA2G6"
"BCK_eIF4E_RIP_2016.csv~1.78","ENSG00000100030","MAPK1"
"BCK_eIF4E_RIP_2016.csv~1.79","ENSG00000241878","PISD"
"BCK_eIF4E_RIP_2016.csv~1.80","ENSG00000185650","ZFP36L1"
"BCK_eIF4E_RIP_2016.csv~1.81","ENSG00000165671","NSD1"
"BCK_eIF4E_RIP_2016.csv~1.82","ENSG00000056097","ZFR"
"BCK_eIF4E_RIP_2016.csv~1.83","ENSG00000103489","XYLT1"
"BCK_eIF4E_RIP_2016.csv~1.84","ENSG00000182866","LCK"
"BCK_eIF4E_RIP_2016.csv~1.85","ENSG00000261109","PLEC"
"BCK_eIF4E_RIP_2016.csv~1.86","ENSG00000158636","C11orf30"
"BCK_eIF4E_RIP_2016.csv~1.87","ENSG00000133943","C14orf159"
"BCK_eIF4E_RIP_2016.csv~1.88","ENSG00000100883","SRP54"
"BCK_eIF4E_RIP_2016.csv~1.89","ENSG00000170471","RALGAPB"
"BCK_eIF4E_RIP_2016.csv~1.90","ENSG00000117174","ZNHIT6"
"BCK_eIF4E_RIP_2016.csv~1.91","ENSG00000147457","CHMP7"
"BCK_eIF4E_RIP_2016.csv~1.92","ENSG00000100359","SGSM3"
"BCK_eIF4E_RIP_2016.csv~1.93","ENSG00000124193","SRSF6"
"BCK_eIF4E_RIP_2016.csv~1.94","ENSG00000065923","SLC9A7"
"BCK_eIF4E_RIP_2016.csv~1.95","ENSG00000010244","ZNF207"
"BCK_eIF4E_RIP_2016.csv~1.96","ENSG00000143621","ILF2"
"BCK_eIF4E_RIP_2016.csv~1.97","ENSG00000073614","KDM5A"
"BCK_eIF4E_RIP_2016.csv~1.98","ENSG00000144136","SLC20A1"
"BCK_eIF4E_RIP_2016.csv~1.99","ENSG00000165516","KLHDC2"
"BCK_eIF4E_RIP_2016.csv~1.100","ENSG00000100441","KHNYN"
"BCK_eIF4E_RIP_2016.csv~1.101","ENSG00000116127","ALMS1"
"BCK_eIF4E_RIP_2016.csv~1.102","ENSG00000096384","HSP90AB1"
"BCK_eIF4E_RIP_2016.csv~1.103","ENSG00000140382","HMG20A"
"BCK_eIF4E_RIP_2016.csv~1.104","ENSG00000183258","DDX41"
"BCK_eIF4E_RIP_2016.csv~1.105","ENSG00000127804","METTL16"
"BCK_eIF4E_RIP_2016.csv~1.106","ENSG00000086712","TXLNG"
"BCK_eIF4E_RIP_2016.csv~1.107","ENSG00000136111","TBC1D4"
"BCK_eIF4E_RIP_2016.csv~1.108","ENSG00000164808","SPIDR"
"BCK_eIF4E_RIP_2016.csv~1.109","ENSG00000124789","NUP153"
"BCK_eIF4E_RIP_2016.csv~1.110","ENSG00000113048","MRPS27"
"BCK_eIF4E_RIP_2016.csv~1.111","ENSG00000136813","KIAA0368"
"BCK_eIF4E_RIP_2016.csv~1.112","ENSG00000068120","COASY"
"BCK_eIF4E_RIP_2016.csv~1.113","ENSG00000005007","UPF1"
"BCK_eIF4E_RIP_2016.csv~1.114","ENSG00000134313","KIDINS220"
"BCK_eIF4E_RIP_2016.csv~1.115","ENSG00000134318","ROCK2"
"BCK_eIF4E_RIP_2016.csv~1.116","ENSG00000171681","ATF7IP"
"BCK_eIF4E_RIP_2016.csv~1.117","ENSG00000107651","SEC23IP"
"BCK_eIF4E_RIP_2016.csv~1.118","ENSG00000234420","ZNF37BP"
"BCK_eIF4E_RIP_2016.csv~1.119","ENSG00000214193","SH3D21"
"BCK_eIF4E_RIP_2016.csv~1.120","ENSG00000067900","ROCK1"
"BCK_eIF4E_RIP_2016.csv~1.121","ENSG00000180370","PAK2"
"BCK_eIF4E_RIP_2016.csv~1.122","ENSG00000177000","MTHFR"
"BCK_eIF4E_RIP_2016.csv~1.123","ENSG00000139112","GABARAPL1"
"BCK_eIF4E_RIP_2016.csv~1.124","ENSG00000162290","DCP1A"
"BCK_eIF4E_RIP_2016.csv~1.125","ENSG00000181192","DHTKD1"
"BCK_eIF4E_RIP_2016.csv~1.126","ENSG00000224399","SLC39A7"
"BCK_eIF4E_RIP_2016.csv~1.127","ENSG00000089094","KDM2B"
"BCK_eIF4E_RIP_2016.csv~1.128","ENSG00000173575","CHD2"
"BCK_eIF4E_RIP_2016.csv~1.129","ENSG00000134884","ARGLU1"
"BCK_eIF4E_RIP_2016.csv~1.130","ENSG00000008869","HEATR5B"
"BCK_eIF4E_RIP_2016.csv~1.131","ENSG00000146828","SLC12A9"
"BCK_eIF4E_RIP_2016.csv~1.132","ENSG00000157796","WDR19"
"BCK_eIF4E_RIP_2016.csv~1.133","ENSG00000018189","RUFY3"
"BCK_eIF4E_RIP_2016.csv~1.134","ENSG00000162236","STX5"
"BCK_eIF4E_RIP_2016.csv~1.135","ENSG00000136280","CCM2"
"BCK_eIF4E_RIP_2016.csv~1.136","ENSG00000164649","CDCA7L"
"BCK_eIF4E_RIP_2016.csv~1.137","ENSG00000139644","TMBIM6"
"BCK_eIF4E_RIP_2016.csv~1.138","ENSG00000154144","TBRG1"
"BCK_eIF4E_RIP_2016.csv~1.139","ENSG00000029725","RABEP1"
"BCK_eIF4E_RIP_2016.csv~1.140","ENSG00000168724","DNAJC21"
"BCK_eIF4E_RIP_2016.csv~1.141","ENSG00000134250","NOTCH2"
"BCK_eIF4E_RIP_2016.csv~1.142","ENSG00000105953","OGDH"
"BCK_eIF4E_RIP_2016.csv~1.143","ENSG00000128829","EIF2AK4"
"BCK_eIF4E_RIP_2016.csv~1.144","ENSG00000155657","TTN"
"BCK_eIF4E_RIP_2016.csv~1.145","ENSG00000148429","USP6NL"
"BCK_eIF4E_RIP_2016.csv~1.146","ENSG00000125107","CNOT1"
"BCK_eIF4E_RIP_2016.csv~1.147","ENSG00000164663","USP49"
"BCK_eIF4E_RIP_2016.csv~1.148","ENSG00000171608","PIK3CD"
"BCK_eIF4E_RIP_2016.csv~1.149","ENSG00000166508","MCM7"
"BCK_eIF4E_RIP_2016.csv~1.150","ENSG00000090661","CERS4"
"BCK_eIF4E_RIP_2016.csv~1.151","ENSG00000104872","PIH1D1"
"BCK_eIF4E_RIP_2016.csv~1.152","ENSG00000198380","GFPT1"
"BCK_eIF4E_RIP_2016.csv~1.153","ENSG00000124702","KLHDC3"
"BCK_eIF4E_RIP_2016.csv~1.154","ENSG00000253729","PRKDC"
"BCK_eIF4E_RIP_2016.csv~1.155","ENSG00000111581","NUP107"
"BCK_eIF4E_RIP_2016.csv~1.156","ENSG00000213024","NUP62"
"BCK_eIF4E_RIP_2016.csv~1.157","ENSG00000165006","UBAP1"
"BCK_eIF4E_RIP_2016.csv~1.158","ENSG00000048471","SNX29"
"BCK_eIF4E_RIP_2016.csv~1.159","ENSG00000182179","UBA7"
"BCK_eIF4E_RIP_2016.csv~1.160","ENSG00000076242","MLH1"
"BCK_eIF4E_RIP_2016.csv~1.161","ENSG00000157106","SMG1"
"BCK_eIF4E_RIP_2016.csv~1.162","ENSG00000158769","F11R"
"BCK_eIF4E_RIP_2016.csv~1.163","ENSG00000078070","MCCC1"
"BCK_eIF4E_RIP_2016.csv~1.164","ENSG00000110066","SUV420H1"
"BCK_eIF4E_RIP_2016.csv~1.165","ENSG00000139697","SBNO1"
"BCK_eIF4E_RIP_2016.csv~1.166","ENSG00000136147","PHF11"
"BCK_eIF4E_RIP_2016.csv~1.167","ENSG00000120798","NR2C1"
"BCK_eIF4E_RIP_2016.csv~1.168","ENSG00000112984","KIF20A"
"BCK_eIF4E_RIP_2016.csv~1.169","ENSG00000111358","GTF2H3"
"BCK_eIF4E_RIP_2016.csv~1.170","ENSG00000162063","CCNF"
"BCK_eIF4E_RIP_2016.csv~1.171","ENSG00000179335","CLK3"
"BCK_eIF4E_RIP_2016.csv~1.172","ENSG00000160271","RALGDS"
"BCK_eIF4E_RIP_2016.csv~1.173","ENSG00000023041","ZDHHC6"
"BCK_eIF4E_RIP_2016.csv~1.174","ENSG00000099899","TRMT2A"
"BCK_eIF4E_RIP_2016.csv~1.175","ENSG00000135945","REV1"
"BCK_eIF4E_RIP_2016.csv~1.176","ENSG00000185946","RNPC3"
"BCK_eIF4E_RIP_2016.csv~1.177","ENSG00000196092","PAX5"
"BCK_eIF4E_RIP_2016.csv~1.178","ENSG00000137802","MAPKBP1"
"BCK_eIF4E_RIP_2016.csv~1.179","ENSG00000149150","SLC43A1"
"BCK_eIF4E_RIP_2016.csv~1.180","ENSG00000148343","FAM73B"
