"Row","GeneID","geneSymbol"
"MG_eIF4E_OE_DSG_2018.csv~1.1","ENSG00000004897","CDC27"
"MG_eIF4E_OE_DSG_2018.csv~1.2","ENSG00000029363","BCLAF1"
"MG_eIF4E_OE_DSG_2018.csv~1.3","ENSG00000029534","ANK1"
"MG_eIF4E_OE_DSG_2018.csv~1.4","ENSG00000064012","CASP8"
"MG_eIF4E_OE_DSG_2018.csv~1.5","ENSG00000071794","HLTF"
"MG_eIF4E_OE_DSG_2018.csv~1.6","ENSG00000075413","MARK3"
"MG_eIF4E_OE_DSG_2018.csv~1.7","ENSG00000082438","COBLL1"
"MG_eIF4E_OE_DSG_2018.csv~1.8","ENSG00000100239","PPP6R2"
"MG_eIF4E_OE_DSG_2018.csv~1.9","ENSG00000101096","NFATC2"
"MG_eIF4E_OE_DSG_2018.csv~1.10","ENSG00000104517","UBR5"
"MG_eIF4E_OE_DSG_2018.csv~1.11","ENSG00000114770","ABCC5"
"MG_eIF4E_OE_DSG_2018.csv~1.12","ENSG00000115266","APC2"
"MG_eIF4E_OE_DSG_2018.csv~1.13","ENSG00000122566","HNRNPA2B1"
"MG_eIF4E_OE_DSG_2018.csv~1.14","ENSG00000123191","ATP7B"
"MG_eIF4E_OE_DSG_2018.csv~1.15","ENSG00000130396","AFDN"
"MG_eIF4E_OE_DSG_2018.csv~1.16","ENSG00000132321","IQCA1"
"MG_eIF4E_OE_DSG_2018.csv~1.17","ENSG00000139636","LMBR1L"
"MG_eIF4E_OE_DSG_2018.csv~1.18","ENSG00000145246","ATP10D"
"MG_eIF4E_OE_DSG_2018.csv~1.19","ENSG00000146063","TRIM41"
"MG_eIF4E_OE_DSG_2018.csv~1.20","ENSG00000150433","TMEM218"
"MG_eIF4E_OE_DSG_2018.csv~1.21","ENSG00000154957","ZNF18"
"MG_eIF4E_OE_DSG_2018.csv~1.22","ENSG00000156531","PHF6"
"MG_eIF4E_OE_DSG_2018.csv~1.23","ENSG00000163040","CCDC74A"
"MG_eIF4E_OE_DSG_2018.csv~1.24","ENSG00000166197","NOLC1"
"MG_eIF4E_OE_DSG_2018.csv~1.25","ENSG00000166783","MARF1"
"MG_eIF4E_OE_DSG_2018.csv~1.26","ENSG00000169598","DFFB"
"MG_eIF4E_OE_DSG_2018.csv~1.27","ENSG00000173230","GOLGB1"
"MG_eIF4E_OE_DSG_2018.csv~1.28","ENSG00000174059","CD34"
"MG_eIF4E_OE_DSG_2018.csv~1.29","ENSG00000182979","MTA1"
"MG_eIF4E_OE_DSG_2018.csv~1.30","ENSG00000186104","CYP2R1"
"MG_eIF4E_OE_DSG_2018.csv~1.31","ENSG00000186448","ZNF197"
"MG_eIF4E_OE_DSG_2018.csv~1.32","ENSG00000197249","SERPINA1"
"MG_eIF4E_OE_DSG_2018.csv~1.33","ENSG00000197343","ZNF655"
"MG_eIF4E_OE_DSG_2018.csv~1.34","ENSG00000198300","PEG3"
"MG_eIF4E_OE_DSG_2018.csv~1.35","ENSG00000204410","MSH5"
"MG_eIF4E_OE_DSG_2018.csv~1.36","ENSG00000215908","CROCCP2"
"MG_eIF4E_OE_DSG_2018.csv~1.37","ENSG00000008128","CDK11A"
"MG_eIF4E_OE_DSG_2018.csv~1.38","ENSG00000067248","DHX29"
