"GeneID","BCK_eIF4E_RIP_2016.csv~1","JC list_4E interaction proteins.csv~1","MG_eIF4E_OE_DSG_2018.csv~1"
"ENSG00000000938","BCK_eIF4E_RIP_2016.csv~1.3538",NA,NA
"ENSG00000001497","BCK_eIF4E_RIP_2016.csv~1.2817",NA,NA
"ENSG00000001617","BCK_eIF4E_RIP_2016.csv~1.3725",NA,NA
"ENSG00000002016","BCK_eIF4E_RIP_2016.csv~1.1404",NA,NA
"ENSG00000002549","BCK_eIF4E_RIP_2016.csv~1.752",NA,NA
"ENSG00000002834","BCK_eIF4E_RIP_2016.csv~1.1571",NA,NA
"ENSG00000003056","BCK_eIF4E_RIP_2016.csv~1.603",NA,NA
"ENSG00000003393","BCK_eIF4E_RIP_2016.csv~1.525",NA,NA
"ENSG00000003402","BCK_eIF4E_RIP_2016.csv~1.254",NA,NA
"ENSG00000003756","BCK_eIF4E_RIP_2016.csv~1.1979",NA,NA
"ENSG00000004142","BCK_eIF4E_RIP_2016.csv~1.757",NA,NA
"ENSG00000004399","BCK_eIF4E_RIP_2016.csv~1.2496",NA,NA
"ENSG00000004455","BCK_eIF4E_RIP_2016.csv~1.1486",NA,NA
"ENSG00000004478","BCK_eIF4E_RIP_2016.csv~1.1242",NA,NA
"ENSG00000004487","BCK_eIF4E_RIP_2016.csv~1.1454",NA,NA
"ENSG00000004534","BCK_eIF4E_RIP_2016.csv~1.1562",NA,NA
"ENSG00000004660","BCK_eIF4E_RIP_2016.csv~1.2294",NA,NA
"ENSG00000004777","BCK_eIF4E_RIP_2016.csv~1.1418",NA,NA
"ENSG00000005007","BCK_eIF4E_RIP_2016.csv~1.113",NA,NA
"ENSG00000005100","BCK_eIF4E_RIP_2016.csv~1.2709",NA,NA
"ENSG00000005156","BCK_eIF4E_RIP_2016.csv~1.1817",NA,NA
"ENSG00000005206","BCK_eIF4E_RIP_2016.csv~1.2401",NA,NA
"ENSG00000005238","BCK_eIF4E_RIP_2016.csv~1.1399",NA,NA
"ENSG00000005302","BCK_eIF4E_RIP_2016.csv~1.1566",NA,NA
"ENSG00000005339","BCK_eIF4E_RIP_2016.csv~1.2617",NA,NA
"ENSG00000005379","BCK_eIF4E_RIP_2016.csv~1.2576",NA,NA
"ENSG00000005448","BCK_eIF4E_RIP_2016.csv~1.2340",NA,NA
"ENSG00000005483","BCK_eIF4E_RIP_2016.csv~1.342",NA,NA
"ENSG00000005844","BCK_eIF4E_RIP_2016.csv~1.1965",NA,NA
"ENSG00000005882","BCK_eIF4E_RIP_2016.csv~1.2976",NA,NA
"ENSG00000005955","BCK_eIF4E_RIP_2016.csv~1.1825",NA,NA
"ENSG00000006025","BCK_eIF4E_RIP_2016.csv~1.455",NA,NA
"ENSG00000006062","BCK_eIF4E_RIP_2016.csv~1.1603",NA,NA
"ENSG00000006114","BCK_eIF4E_RIP_2016.csv~1.1351",NA,NA
"ENSG00000006125","BCK_eIF4E_RIP_2016.csv~1.407",NA,NA
"ENSG00000006282","BCK_eIF4E_RIP_2016.csv~1.2455",NA,NA
"ENSG00000006432","BCK_eIF4E_RIP_2016.csv~1.3038",NA,NA
"ENSG00000006453","BCK_eIF4E_RIP_2016.csv~1.3416",NA,NA
"ENSG00000006712","BCK_eIF4E_RIP_2016.csv~1.2490",NA,NA
"ENSG00000006744","BCK_eIF4E_RIP_2016.csv~1.1091",NA,NA
"ENSG00000006831","BCK_eIF4E_RIP_2016.csv~1.535",NA,NA
"ENSG00000007047","BCK_eIF4E_RIP_2016.csv~1.2151",NA,NA
"ENSG00000007168","BCK_eIF4E_RIP_2016.csv~1.518",NA,NA
"ENSG00000007202","BCK_eIF4E_RIP_2016.csv~1.1532",NA,NA
"ENSG00000007314","BCK_eIF4E_RIP_2016.csv~1.738",NA,NA
"ENSG00000007392","BCK_eIF4E_RIP_2016.csv~1.2308",NA,NA
"ENSG00000007541","BCK_eIF4E_RIP_2016.csv~1.756",NA,NA
"ENSG00000007545","BCK_eIF4E_RIP_2016.csv~1.2784",NA,NA
"ENSG00000007923","BCK_eIF4E_RIP_2016.csv~1.2749",NA,NA
"ENSG00000007968","BCK_eIF4E_RIP_2016.csv~1.539",NA,NA
"ENSG00000008056","BCK_eIF4E_RIP_2016.csv~1.3612",NA,NA
"ENSG00000008083","BCK_eIF4E_RIP_2016.csv~1.1918",NA,NA
"ENSG00000008128","BCK_eIF4E_RIP_2016.csv~1.3568",NA,"MG_eIF4E_OE_DSG_2018.csv~1.37"
"ENSG00000008130","BCK_eIF4E_RIP_2016.csv~1.901",NA,NA
"ENSG00000008256","BCK_eIF4E_RIP_2016.csv~1.3658",NA,NA
"ENSG00000008294","BCK_eIF4E_RIP_2016.csv~1.1658",NA,NA
"ENSG00000008300","BCK_eIF4E_RIP_2016.csv~1.1301",NA,NA
"ENSG00000008441","BCK_eIF4E_RIP_2016.csv~1.2871",NA,NA
"ENSG00000008710","BCK_eIF4E_RIP_2016.csv~1.926",NA,NA
"ENSG00000008838","BCK_eIF4E_RIP_2016.csv~1.2002",NA,NA
"ENSG00000008853","BCK_eIF4E_RIP_2016.csv~1.438",NA,NA
"ENSG00000008869","BCK_eIF4E_RIP_2016.csv~1.130",NA,NA
"ENSG00000009335","BCK_eIF4E_RIP_2016.csv~1.196",NA,NA
"ENSG00000009780","BCK_eIF4E_RIP_2016.csv~1.816",NA,"MG_eIF4E_OE_DSG_2018.csv~1.174"
"ENSG00000009830","BCK_eIF4E_RIP_2016.csv~1.3198",NA,NA
"ENSG00000009954","BCK_eIF4E_RIP_2016.csv~1.1818",NA,NA
"ENSG00000010165","BCK_eIF4E_RIP_2016.csv~1.2498",NA,NA
"ENSG00000010219","BCK_eIF4E_RIP_2016.csv~1.3271",NA,NA
"ENSG00000010244","BCK_eIF4E_RIP_2016.csv~1.95",NA,NA
"ENSG00000010292","BCK_eIF4E_RIP_2016.csv~1.979",NA,NA
"ENSG00000010295","BCK_eIF4E_RIP_2016.csv~1.3101",NA,NA
"ENSG00000010318","BCK_eIF4E_RIP_2016.csv~1.1663",NA,NA
"ENSG00000010322","BCK_eIF4E_RIP_2016.csv~1.1816",NA,NA
"ENSG00000010404","BCK_eIF4E_RIP_2016.csv~1.2823",NA,NA
"ENSG00000010626","BCK_eIF4E_RIP_2016.csv~1.2275",NA,"MG_eIF4E_OE_DSG_2018.csv~1.175"
"ENSG00000010671","BCK_eIF4E_RIP_2016.csv~1.2265",NA,NA
"ENSG00000010803","BCK_eIF4E_RIP_2016.csv~1.1165",NA,NA
"ENSG00000010810","BCK_eIF4E_RIP_2016.csv~1.3791",NA,NA
"ENSG00000010818","BCK_eIF4E_RIP_2016.csv~1.1330",NA,NA
"ENSG00000011007","BCK_eIF4E_RIP_2016.csv~1.1398",NA,NA
"ENSG00000011021","BCK_eIF4E_RIP_2016.csv~1.2289",NA,NA
"ENSG00000011052","BCK_eIF4E_RIP_2016.csv~1.3652",NA,NA
