"geneSymbol","BCK_eIF4E_RIP_2016.csv~1","JC list_4E interaction proteins.csv~1","MG_eIF4E_OE_DSG_2018.csv~1"
"A1BG-AS1","BCK_eIF4E_RIP_2016.csv~1.3306",NA,NA
"AAAS","BCK_eIF4E_RIP_2016.csv~1.2645",NA,NA
"AACS","BCK_eIF4E_RIP_2016.csv~1.1349",NA,NA
"AAK1","BCK_eIF4E_RIP_2016.csv~1.1344",NA,NA
"AAMP","BCK_eIF4E_RIP_2016.csv~1.374",NA,NA
"AARS","BCK_eIF4E_RIP_2016.csv~1.2025",NA,NA
"AARS2","BCK_eIF4E_RIP_2016.csv~1.1015",NA,NA
"AATF","BCK_eIF4E_RIP_2016.csv~1.2405",NA,NA
"ABAT","BCK_eIF4E_RIP_2016.csv~1.3492",NA,NA
"ABCA1","BCK_eIF4E_RIP_2016.csv~1.281",NA,NA
"ABCA2","BCK_eIF4E_RIP_2016.csv~1.2962",NA,NA
"ABCA3","BCK_eIF4E_RIP_2016.csv~1.3848",NA,NA
"ABCA7","BCK_eIF4E_RIP_2016.csv~1.237",NA,NA
"ABCB6","BCK_eIF4E_RIP_2016.csv~1.554",NA,NA
"ABCB8","BCK_eIF4E_RIP_2016.csv~1.648",NA,NA
"ABCC1","BCK_eIF4E_RIP_2016.csv~1.1159",NA,NA
"ABCC10","BCK_eIF4E_RIP_2016.csv~1.1396",NA,NA
"ABCC5","BCK_eIF4E_RIP_2016.csv~1.2164",NA,"MG_eIF4E_OE_DSG_2018.csv~1.11"
"ABCD4","BCK_eIF4E_RIP_2016.csv~1.1480",NA,NA
"ABCF1","BCK_eIF4E_RIP_2016.csv~1.3005",NA,NA
"ABCF2","BCK_eIF4E_RIP_2016.csv~1.1535",NA,NA
"ABCF3","BCK_eIF4E_RIP_2016.csv~1.2366",NA,NA
"ABHD16A","BCK_eIF4E_RIP_2016.csv~1.639",NA,NA
"ABHD2","BCK_eIF4E_RIP_2016.csv~1.1453",NA,NA
"ABHD4","BCK_eIF4E_RIP_2016.csv~1.2402",NA,NA
"ABI2","BCK_eIF4E_RIP_2016.csv~1.918",NA,NA
"ABL1","BCK_eIF4E_RIP_2016.csv~1.2657",NA,NA
